time,20sim,fmu,cohla,d-20sim-fmu,d-fmu-cohla,d-20sim-cohla,offset-20sim-cohla,target
588,17.8299086833306,17.8288,17.82883,0.0011086833306,2.99999999988643E-05,0.001078683330601,-0.001078683330601,18
591,17.8376631268893,17.8366,17.836582,0.001063126889299,1.80000000007396E-05,0.0010811268893,-0.0010811268893,18
594,17.8454121871978,17.8443,17.844329,0.001112187197801,2.89999999978363E-05,0.001083187197803,-0.001083187197803,18
597,17.8531558679935,17.8521,17.852071,0.0010558679935,2.9000000001389E-05,0.001084867993502,-0.001084867993502,18
600,17.8608941730108,17.8598,17.859808,0.001094173010799,8.00000000111822E-06,0.001086173010798,-0.001086173010798,18
603,17.8686271059815,17.8675,17.867539,0.001127105981499,3.90000000010104E-05,0.001088105981498,-0.001088105981498,18
606,17.8763546706352,17.8753,17.875265,0.001054670635202,3.50000000004513E-05,0.001089670635203,-0.001089670635203,18
609,17.8840768706986,17.883,17.882985,0.001076870698601,1.49999999976558E-05,0.001091870698598,-0.001091870698598,18
612,17.8917937098958,17.8907,17.8907,0.001093709895802,0,0.001093709895802,-0.001093709895802,18
615,17.8995051919484,17.8984,17.89841,0.001105191948401,9.99999999962142E-06,0.001095191948401,-0.001095191948401,18
618,17.9072113205755,17.9061,17.906114,0.0011113205755,1.40000000001805E-05,0.0010973205755,-0.0010973205755,18
621,17.9149120994934,17.9138,17.913813,0.001112099493401,1.30000000027053E-05,0.001099099493398,-0.001099099493398,18
624,17.9226075324161,17.9215,17.921506,0.0011075324161,5.99999999906231E-06,0.001101532416101,-0.001101532416101,18
627,17.9302976230547,17.9292,17.929195,0.001097623054697,5.00000000158707E-06,0.001102623054699,-0.001102623054699,18
630,17.937982375118,17.9369,17.936878,0.001082375117999,2.20000000012988E-05,0.001104375118,-0.001104375118,18
633,17.9456617923121,17.9446,17.944555,0.0010617923121,4.50000000000728E-05,0.0011067923121,-0.0011067923121,18
636,17.9533358783406,17.9522,17.952228,0.001135878340598,2.80000000003611E-05,0.001107878340598,-0.001107878340598,18
639,17.9610046369044,17.9599,17.959894,0.001104636904397,6.00000000261502E-06,0.0011106369044,-0.0011106369044,18
642,17.9686680717019,17.9676,17.967556,0.001068071701898,4.40000000025975E-05,0.0011120717019,-0.0011120717019,18
645,17.976326186429,17.9752,17.975212,0.001126186428998,1.19999999981246E-05,0.001114186429,-0.001114186429,18
648,17.9839789847789,17.9829,17.982863,0.0010789847789,3.70000000025072E-05,0.001115984778902,-0.001115984778902,18
651,17.9916264704424,17.9905,17.990509,0.001126470442401,8.99999999859347E-06,0.001117470442402,-0.001117470442402,18
654,17.9992686471076,17.9981,17.99815,0.001168647107598,4.99999999981071E-05,0.001118647107599,-0.001118647107599,18
657,18.00690551846,18.0058,18.005785,0.001105518460001,1.50000000012085E-05,0.001120518460002,-0.001120518460002,18
660,18.0145370881827,18.0134,18.013414,0.001137088182698,1.40000000001805E-05,0.001123088182698,-0.001123088182698,18
663,18.0221633599562,18.021,18.021039,0.001163359956198,3.89999999974577E-05,0.001124359956201,-0.001124359956201,18
666,18.0297843374584,18.0287,18.028658,0.001084337458398,4.20000000005416E-05,0.001126337458398,-0.001126337458398,18
669,18.0374000243646,18.0363,18.036272,0.0011000243646,2.80000000003611E-05,0.001128024364601,-0.001128024364601,18
672,18.0450104243477,18.0439,18.043881,0.001110424347701,1.90000000017676E-05,0.001129424347702,-0.001129424347702,18
675,18.0526155410779,18.0515,18.051484,0.001115541077898,1.60000000022364E-05,0.0011315410779,-0.0011315410779,18
678,18.0602153782229,18.0591,18.059082,0.001115378222899,1.80000000007396E-05,0.0011333782229,-0.0011333782229,18
681,18.067809939448,18.0667,18.066675,0.001109939448,2.50000000008299E-05,0.001134939448001,-0.001134939448001,18
684,18.0753992284156,18.0743,18.074262,0.001099228415598,3.79999999999825E-05,0.001137228415598,-0.001137228415598,18
687,18.082983248786,18.0818,18.081845,0.001183248785999,4.50000000000728E-05,0.001138248785999,-0.001138248785999,18
690,18.0905620042166,18.0894,18.089422,0.001162004216599,2.1999999997746E-05,0.001140004216602,-0.001140004216602,18
693,18.0981354983624,18.097,18.096993,0.001135498362398,7.00000000009027E-06,0.001142498362398,-0.001142498362398,18
696,18.1057037348759,18.1046,18.10456,0.001103734875898,4.00000000020384E-05,0.0011437348759,-0.0011437348759,18
699,18.1132667174071,18.1121,18.112121,0.001166717407099,2.09999999967181E-05,0.001145717407102,-0.001145717407102,18
702,18.1208244496033,18.1197,18.119677,0.001124449603299,2.30000000023267E-05,0.001147449603302,-0.001147449603302,18
705,18.1283769351093,18.1272,18.127228,0.001176935109303,2.80000000003611E-05,0.001148935109303,-0.001148935109303,18
