Time,ThermostatTargetTemperature,POOSL,VDM,20sim,POOSL_compensated
1055,,,,,20.648857
1060,20.5,19.834153,,,
1060,,,20.814966,,
1060,,,,20.814966,
1060,,,,,20.669481
1065,20.5,19.856912,,,
1065,,,20.835155,,
1065,,,,20.835155,
1065,,,,,20.690051
1065.1,,,,,20.690051
1070,20.5,19.879611,,,
1070,,,20.85529,,
1070,,,,20.85529,
1070,,,,,20.710567
1075,20.5,19.90225,,,
1075,,,20.875373,,
1075,,,,20.875373,
1075,,,,,20.731029
1080,20.5,19.92483,,,
1080,,,20.895404,,
1080,,,,20.895404,
1080,,,,,20.751438
1080.1,20.5,19.92483,,,
1080.1,,,,,20.751438
1085,20.5,19.947351,,,
1085,,,20.846441,,
1085,,,,20.846441,
1085,,,,,20.771793
1090,20.5,19.969813,,,
1090,,,20.797584,,
1090,,,,20.797584,
1090,,,,,20.792095
1095,20.5,19.992217,,,
1095,,,20.748854,,
1095,,,,20.748854,
1095,,,,,20.812343
1095.1,,,,,20.812343
1100,20.5,20.014561,,,
1100,,,20.700253,,
1100,,,,20.700253,
1100,,,,,20.832539
1105,20.5,20.036847,,,
1105,,,20.651778,,
1105,,,,20.651778,
1105,,,,,20.852682
1110,20.5,20.059075,,,
1110,,,20.603431,,
1110,,,,20.603431,
1110,,,,,20.872772
1110.1,20.5,20.059075,,,
1110.1,,,,,20.872772
1115,20.5,20.081244,,,
1115,,,20.55521,,
1115,,,,20.55521,
1115,,,,,20.823868
1120,20.5,20.103355,,,
1120,,,20.507116,,
1120,,,,20.507116,
1120,,,,,20.77507
1125,20.5,20.125409,,,
1125,,,20.459148,,
1125,,,,20.459148,
1125,,,,,20.7264
1125.1,,,,,20.7264
1130,20.5,20.147404,,,
1130,,,20.411305,,
1130,,,,20.411305,
1130,,,,,20.677857
1135,20.5,20.169342,,,
1135,,,20.363588,,
1135,,,,20.363588,
1135,,,,,20.629441
1140,20.5,20.191222,,,
1140,,,20.315995,,
1140,,,,20.315995,
1140,,,,,20.581152
1140.1,20.5,20.191222,,,
1140.1,,,,,20.581152
1145,20.5,20.213045,,,
1145,,,20.268528,,
1145,,,,20.268528,
1145,,,,,20.53299
1150,20.5,20.234811,,,
1150,,,20.221185,,
1150,,,,20.221185,
1150,,,,,20.484954
1155,20.5,20.25652,,,
1155,,,20.173966,,
1155,,,,20.173966,
1155,,,,,20.437043
1155.1,,,,,20.437043
1160,20.5,20.278172,,,
1160,,,20.12687,,
1160,,,,20.12687,
1160,,,,,20.389259
1165,20.5,20.299767,,,
1165,,,20.079898,,
1165,,,,20.079898,
1165,,,,,20.341599
1170,20.5,20.321306,,,
1170,,,20.033049,,
1170,,,,20.033049,
1170,,,,,20.294065
1170.1,20.5,20.321306,,,
1170.1,,,,,20.294065
1175,20.5,20.342788,,,
1175,,,20.055264,,
1175,,,,20.055264,
1175,,,,,20.246655
1180,20.5,20.364214,,,
1180,,,20.077443,,
1180,,,,20.077443,
1180,,,,,20.199369
1185,20.5,20.385584,,,
1185,,,20.099564,,
1185,,,,20.099564,
1185,,,,,20.152207
1185.1,,,,,20.152207
1190,20.5,20.406898,,,
1190,,,20.121628,,
1190,,,,20.121628,
1190,,,,,20.105168
1195,20.5,20.428156,,,
1195,,,20.143633,,
1195,,,,20.143633,
1195,,,,,20.058253
1200,20.5,20.449358,,,
1200,,,20.165581,,
1200,,,,20.165581,
1200,,,,,20.011461
1200.1,20.5,20.449358,,,
1200.1,,,,,20.011461
1205,20.5,20.470505,,,
1205,,,20.187471,,
1205,,,,20.187471,
1205,,,,,20.033732
1210,20.5,20.491596,,,
1210,,,20.209304,,
1210,,,,20.209304,
1210,,,,,20.055968
1215,20.5,20.512632,,,
1215,,,20.23108,,
1215,,,,20.23108,
1215,,,,,20.078145
1215.1,,,,,20.078145
1220,20.5,20.533613,,,
1220,,,20.252798,,
1220,,,,20.252798,
1220,,,,,20.100265
1225,20.5,20.554539,,,
1225,,,20.27446,,
1225,,,,20.27446,
1225,,,,,20.122326
1230,20.5,20.57541,,,
1230,,,20.296065,,
1230,,,,20.296065,
1230,,,,,20.14433
1230.1,20.5,20.57541,,,
1230.1,,,,,20.14433
1235,20.5,20.596226,,,
1235,,,20.317613,,
1235,,,,20.317613,
1235,,,,,20.166276
1240,20.5,20.616988,,,
1240,,,20.339105,,
1240,,,,20.339105,
1240,,,,,20.188164
1245,20.5,20.637696,,,
1245,,,20.360541,,
1245,,,,20.360541,
1245,,,,,20.209995
1245.1,,,,,20.209995
1250,20.5,20.658349,,,
1250,,,20.38192,,
1250,,,,20.38192,
1250,,,,,20.231769
1255,20.5,20.678948,,,
1255,,,20.403244,,
1255,,,,20.403244,
1255,,,,,20.253486
