Time,ThermostatTargetTemperature,LivingroomTemperatureFault,LivingroomTemperatureBase
2140.2,20.5,22.11055,20.531633
2145.2,20.5,22.127344,20.4836
2150.2,20.5,22.144094,20.435694
2155.2,20.5,22.1608,20.387912
2160.1,20.5,22.1608,20.387912
2160.2,20.5,22.108522,20.340256
2165.2,20.5,22.056358,20.292725
2170.2,20.5,22.00433,20.245319
2175.2,20.5,21.952439,20.198036
2180.2,20.5,21.900683,20.150878
2185.2,20.5,21.849064,20.103843
2190.1,20.5,21.849064,20.103843
2190.2,20.5,21.797579,20.056931
2195.2,20.5,21.746229,20.010143
2200.2,20.5,21.695014,19.963476
2205.2,20.5,21.643934,19.916933
2210.2,20.5,21.592987,19.870511
2215.2,20.5,21.542173,19.82421
2220.1,20.5,21.542173,19.82421
2220.2,20.5,21.491493,19.846972
2225.2,20.5,21.440945,19.869697
2230.2,20.5,21.39053,19.892363
2235.2,20.5,21.340247,19.914969
2240.2,20.5,21.290096,19.937516
2245.2,20.5,21.240076,19.960004
2250.1,20.5,21.240076,19.960004
2250.2,20.5,21.190187,19.982433
2255.2,20.5,21.140429,20.004803
2260.2,20.5,21.090801,20.027114
2265.2,20.5,21.041304,20.049367
2270.2,20.5,20.991936,20.071562
2275.2,20.5,20.942697,20.093699
2280.1,20.5,20.942697,20.093699
2280.2,20.5,20.893587,20.115777
2285.2,20.5,20.844606,20.137798
2290.2,20.5,20.795754,20.159761
2295.2,20.5,20.747029,20.181666
2300.2,20.5,20.698432,20.203515
2305.2,20.5,20.649963,20.225305
2310.1,20.5,20.649963,20.225305
2310.2,20.5,20.60162,20.247039
2315.2,20.5,20.553404,20.268716
2320.2,20.5,20.505314,20.290336
2325.2,20.5,20.457351,20.311899
2330.2,20.5,20.409513,20.333406
2335.2,20.5,20.3618,20.354857
2340.1,20.5,20.3618,20.354857
2340.2,20.5,20.314213,20.376251
2345.2,20.5,20.26675,20.397589
2350.2,20.5,20.219411,20.418872
2355.2,20.5,20.172197,20.440098
2360.2,20.5,20.125106,20.461269
2365.2,20.5,20.078139,20.482385
2370.1,20.5,20.078139,20.482385
2370.2,20.5,20.031295,20.503445
2375.2,20.5,19.984573,20.52445
2380.2,20.5,19.937974,20.5454
2385.2,20.5,19.891497,20.566295
2390.2,20.5,19.845142,20.587135
2395.2,20.5,19.798908,20.607921
2400.1,20.5,19.798908,20.607921
2400.2,20.5,19.821736,20.628652
2405.2,20.5,19.844527,20.649329
2410.2,20.5,19.867259,20.669952
2415.2,20.5,19.88993,20.69052
2420.2,20.5,19.912543,20.711035
2425.2,20.5,19.935096,20.731496
2430.1,20.5,19.935096,20.731496
2430.2,20.5,19.95759,20.751904
2435.2,20.5,19.980026,20.772258
2440.2,20.5,20.002402,20.792558
2445.2,20.5,20.02472,20.812806
2450.2,20.5,20.046979,20.833
2455.2,20.5,20.06918,20.853142
2460.1,20.5,20.06918,20.853142
2460.2,20.5,20.091323,20.87323
2465.2,20.5,20.113408,20.893266
2470.2,20.5,20.135435,20.91325
2475.2,20.5,20.157404,20.933181
2480.2,20.5,20.179316,20.95306
2485.2,20.5,20.20117,20.972887
2490.1,20.5,20.20117,20.972887
2490.2,20.5,20.222967,20.923721
2495.2,20.5,20.244707,20.874661
2500.2,20.5,20.26639,20.82573
